26_controller,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,False,False,False,True,True,True,True
flipped_horizontal,False,False,False,False,False,False,True,True
flipped_vertical,False,False,False,False,False,False,False,False
good_crop,False,False,False,False,False,True,True,True
grayscale,False,True,False,False,False,False,True,False
high_quality,True,False,False,True,True,True,True,True
images_base,False,False,False,False,True,True,True,True
jpeg_artifacts,False,False,False,False,True,True,True,False
occluded,False,False,False,False,False,True,True,True
overexposed,False,False,False,True,True,False,True,True
rotated,True,True,True,True,True,True,True,True
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,False,False,False,False,False,True,True,True
tint_green,False,False,False,False,False,True,True,True
tint_red,False,False,False,False,True,True,True,True
underexposed,False,False,False,True,False,True,True,False
