01_mug,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,True,True,False,True,True,True
cut_object_crop,False,False,False,False,True,True,True,True
flipped_horizontal,True,True,True,True,True,True,True,True
flipped_vertical,True,True,True,True,True,True,True,True
good_crop,True,True,True,True,True,True,True,True
grayscale,False,False,False,True,False,True,False,False
high_quality,True,False,True,True,True,True,True,True
images_base,True,True,True,True,True,True,True,True
jpeg_artifacts,True,True,True,True,False,True,True,True
occluded,True,True,True,True,True,True,True,True
overexposed,True,True,True,True,False,True,True,True
rotated,False,False,False,True,False,True,False,False
salt_pepper_noise,True,True,True,True,True,True,True,True
tint_blue,True,True,True,True,True,True,True,True
tint_green,True,True,True,True,True,True,True,True
tint_red,True,True,True,True,True,True,True,True
underexposed,True,True,True,True,True,True,True,True
