30_cloth,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,True,False,True,True
cut_object_crop,False,False,False,True,True,False,True,False
flipped_horizontal,True,False,False,False,True,False,True,False
flipped_vertical,False,False,False,True,True,False,False,False
good_crop,True,True,False,True,True,True,False,True
grayscale,True,True,True,True,True,False,True,True
high_quality,True,True,True,True,True,False,True,True
images_base,True,True,True,True,True,False,True,False
jpeg_artifacts,False,False,False,True,True,False,True,True
occluded,False,False,False,True,True,False,True,True
overexposed,False,False,False,True,True,False,True,True
rotated,True,False,False,True,False,False,False,True
salt_pepper_noise,False,False,False,True,False,False,True,False
tint_blue,False,False,False,True,True,False,True,True
tint_green,False,True,False,True,True,False,True,False
tint_red,False,False,False,True,True,False,True,False
underexposed,False,False,False,True,True,False,True,False
