58_screwdriver,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,True,True,True,True,False,True
cut_object_crop,True,True,False,True,True,True,True,True
flipped_horizontal,True,True,True,True,False,True,False,True
flipped_vertical,True,True,True,True,False,True,False,False
good_crop,True,True,True,True,True,True,True,True
grayscale,True,True,True,True,True,True,True,False
high_quality,True,True,True,True,False,True,True,True
images_base,True,True,True,True,True,True,True,True
jpeg_artifacts,True,True,True,True,True,True,False,True
occluded,True,True,True,True,False,True,False,False
overexposed,True,True,True,True,True,True,False,True
rotated,True,True,True,True,False,True,False,False
salt_pepper_noise,True,True,True,True,True,True,False,True
tint_blue,True,True,True,True,True,True,False,False
tint_green,True,True,True,True,True,True,False,True
tint_red,True,True,True,True,True,True,True,True
underexposed,True,True,True,True,False,True,False,True
