32_cloth,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,False,False,False,True
cut_object_crop,False,False,False,True,False,False,False,False
flipped_horizontal,True,False,False,True,True,False,True,True
flipped_vertical,False,False,False,True,True,False,False,True
good_crop,True,False,False,True,False,False,False,True
grayscale,True,True,False,True,False,False,False,False
high_quality,True,False,False,True,True,False,True,True
images_base,True,False,False,True,True,False,True,True
jpeg_artifacts,False,False,False,True,False,False,True,True
occluded,True,True,False,True,False,False,True,True
overexposed,False,False,False,True,False,False,True,False
rotated,False,False,False,True,False,False,True,True
salt_pepper_noise,False,False,False,True,False,False,True,True
tint_blue,True,False,False,True,True,False,True,False
tint_green,False,False,False,True,False,False,False,True
tint_red,False,False,False,True,True,False,True,False
underexposed,True,False,False,True,True,False,True,False
