39_screwdriver,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,False,False,False,False
cut_object_crop,False,False,False,True,False,False,False,False
flipped_horizontal,False,False,False,False,False,True,False,False
flipped_vertical,False,False,False,False,False,False,False,False
good_crop,False,False,False,True,False,True,False,False
grayscale,True,True,True,True,False,True,False,False
high_quality,True,True,True,True,False,True,False,False
images_base,True,True,True,True,False,True,False,False
jpeg_artifacts,False,True,False,True,False,True,False,False
occluded,True,True,False,True,False,True,False,False
overexposed,True,True,True,True,False,True,False,False
rotated,False,False,False,True,False,False,False,False
salt_pepper_noise,True,True,False,True,False,False,False,False
tint_blue,True,True,True,True,False,True,False,False
tint_green,True,True,True,True,False,True,False,False
tint_red,True,True,False,True,False,True,False,False
underexposed,False,False,False,True,False,True,False,False
