20_fan,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,True,True,False,False,True,True,True,True
flipped_horizontal,True,True,False,True,False,True,True,False
flipped_vertical,True,False,True,True,False,False,False,False
good_crop,True,True,False,False,True,True,True,True
grayscale,False,False,False,True,False,False,False,True
high_quality,True,True,True,True,True,False,False,True
images_base,False,False,False,True,False,False,False,True
jpeg_artifacts,False,False,False,True,False,False,False,False
occluded,False,False,False,True,False,False,False,False
overexposed,False,False,False,True,False,False,False,False
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,True,False,False,True,False,False,False,True
tint_green,False,False,False,True,False,False,False,True
tint_red,False,False,False,True,False,False,False,False
underexposed,False,False,False,True,False,False,False,False
